轮次,方案标签,A_LO,A_HI,B_HI,B_MULT,C_MULT,与仓库基准买入一致,成交笔数,收益合计_pct,固定份额0p5_合计_pct,单笔均值_pct,夏普_笔收益,胜率_pct,波动率_笔收益标准差_pct,最大回撤_链式净值_pct,盈亏比_均盈除以均亏绝对值,盈亏比_总盈利除以总亏损绝对值,份额合计,加权收益合计_pts,加权收益率合计_pct,加权笔均_pct,加权胜率_pct,夏普_笔收益_加权,波动率_笔收益标准差_pct_加权,最大回撤_链式净值_pct_加权,盈亏比_均盈除以均亏绝对值_加权,盈亏比_总盈利除以总亏损绝对值_加权
买1+2,买扫|A_LO=-6.0%·A_HI=3.0%·B_HI=6.0%·B×=0.98·C×=0.97,-0.06,0.03,0.06,0.98,0.97,False,160,367.9406,183.9703,2.2996,0.3201,58.125,7.1843,29.0864,1.5096,2.1937,55.75,143.913,287.8261,2.5814,59.1031,0.3624,2.6602,9.6287,1.6974,2.4665
买1+2,买扫|A_LO=-5.0%·A_HI=3.0%·B_HI=6.0%·B×=0.98·C×=0.97,-0.05,0.03,0.06,0.98,0.97,False,160,367.9406,183.9703,2.2996,0.3201,58.125,7.1843,29.0864,1.5096,2.1937,55.75,143.913,287.8261,2.5814,59.1031,0.3624,2.6602,9.6287,1.6974,2.4665
买1+2,买扫|A_LO=-4.0%·A_HI=3.0%·B_HI=6.0%·B×=0.98·C×=0.97,-0.04,0.03,0.06,0.98,0.97,False,160,367.9406,183.9703,2.2996,0.3201,58.125,7.1843,29.0864,1.5096,2.1937,55.75,143.913,287.8261,2.5814,59.1031,0.3624,2.6602,9.6287,1.6974,2.4665
买1+2,买扫|A_LO=-6.0%·A_HI=3.0%·B_HI=6.0%·B×=0.97·C×=0.97,-0.06,0.03,0.06,0.97,0.97,False,155,366.6079,183.304,2.3652,0.3289,58.7097,7.1904,26.1166,1.51,2.2526,54.2,144.4335,288.867,2.6648,59.8708,0.3745,2.6697,10.9661,1.7116,2.5533
买1+2,买扫|A_LO=-6.0%·A_HI=3.0%·B_HI=7.0%·B×=0.97·C×=0.97,-0.06,0.03,0.07,0.97,0.97,False,155,366.6079,183.304,2.3652,0.3289,58.7097,7.1904,26.1166,1.51,2.2526,54.2,144.4335,288.867,2.6648,59.8708,0.3745,2.6697,10.9661,1.7116,2.5533
买1+2,买扫|A_LO=-6.0%·A_HI=3.0%·B_HI=8.0%·B×=0.97·C×=0.97,-0.06,0.03,0.08,0.97,0.97,False,155,366.6079,183.304,2.3652,0.3289,58.7097,7.1904,26.1166,1.51,2.2526,54.2,144.4335,288.867,2.6648,59.8708,0.3745,2.6697,10.9661,1.7116,2.5533
买1+2,买扫|A_LO=-5.0%·A_HI=3.0%·B_HI=6.0%·B×=0.97·C×=0.97,-0.05,0.03,0.06,0.97,0.97,False,155,366.6079,183.304,2.3652,0.3289,58.7097,7.1904,26.1166,1.51,2.2526,54.2,144.4335,288.867,2.6648,59.8708,0.3745,2.6697,10.9661,1.7116,2.5533
买1+2,买扫|A_LO=-5.0%·A_HI=3.0%·B_HI=7.0%·B×=0.97·C×=0.97,-0.05,0.03,0.07,0.97,0.97,False,155,366.6079,183.304,2.3652,0.3289,58.7097,7.1904,26.1166,1.51,2.2526,54.2,144.4335,288.867,2.6648,59.8708,0.3745,2.6697,10.9661,1.7116,2.5533
买1+2,买扫|A_LO=-5.0%·A_HI=3.0%·B_HI=8.0%·B×=0.97·C×=0.97,-0.05,0.03,0.08,0.97,0.97,False,155,366.6079,183.304,2.3652,0.3289,58.7097,7.1904,26.1166,1.51,2.2526,54.2,144.4335,288.867,2.6648,59.8708,0.3745,2.6697,10.9661,1.7116,2.5533
买1+2,买扫|A_LO=-4.0%·A_HI=3.0%·B_HI=6.0%·B×=0.97·C×=0.97,-0.04,0.03,0.06,0.97,0.97,False,155,366.6079,183.304,2.3652,0.3289,58.7097,7.1904,26.1166,1.51,2.2526,54.2,144.4335,288.867,2.6648,59.8708,0.3745,2.6697,10.9661,1.7116,2.5533
买1+2,买扫|A_LO=-4.0%·A_HI=3.0%·B_HI=7.0%·B×=0.97·C×=0.97,-0.04,0.03,0.07,0.97,0.97,False,155,366.6079,183.304,2.3652,0.3289,58.7097,7.1904,26.1166,1.51,2.2526,54.2,144.4335,288.867,2.6648,59.8708,0.3745,2.6697,10.9661,1.7116,2.5533
买1+2,买扫|A_LO=-4.0%·A_HI=3.0%·B_HI=8.0%·B×=0.97·C×=0.97,-0.04,0.03,0.08,0.97,0.97,False,155,366.6079,183.304,2.3652,0.3289,58.7097,7.1904,26.1166,1.51,2.2526,54.2,144.4335,288.867,2.6648,59.8708,0.3745,2.6697,10.9661,1.7116,2.5533
买1+2,买扫|A_LO=-6.0%·A_HI=3.0%·B_HI=7.0%·B×=0.98·C×=0.97,-0.06,0.03,0.07,0.98,0.97,False,160,359.7248,179.8624,2.2483,0.3124,57.5,7.1972,29.0864,1.5171,2.1473,55.75,141.8591,283.7182,2.5446,58.6547,0.3567,2.664,9.6287,1.7142,2.4263
买1+2,买扫|A_LO=-5.0%·A_HI=3.0%·B_HI=7.0%·B×=0.98·C×=0.97,-0.05,0.03,0.07,0.98,0.97,False,160,359.7248,179.8624,2.2483,0.3124,57.5,7.1972,29.0864,1.5171,2.1473,55.75,141.8591,283.7182,2.5446,58.6547,0.3567,2.664,9.6287,1.7142,2.4263
买1+2,买扫|A_LO=-4.0%·A_HI=3.0%·B_HI=7.0%·B×=0.98·C×=0.97,-0.04,0.03,0.07,0.98,0.97,False,160,359.7248,179.8624,2.2483,0.3124,57.5,7.1972,29.0864,1.5171,2.1473,55.75,141.8591,283.7182,2.5446,58.6547,0.3567,2.664,9.6287,1.7142,2.4263
买1+2,买扫|A_LO=-6.0%·A_HI=3.0%·B_HI=6.0%·B×=0.96·C×=0.97,-0.06,0.03,0.06,0.96,0.97,False,150,358.6353,179.3176,2.3909,0.3312,59.3333,7.2179,27.5967,1.4815,2.2734,52.65,143.334,286.668,2.7224,60.6838,0.381,2.6956,11.0452,1.6962,2.6028
买1+2,买扫|A_LO=-5.0%·A_HI=3.0%·B_HI=6.0%·B×=0.96·C×=0.97,-0.05,0.03,0.06,0.96,0.97,False,150,358.6353,179.3176,2.3909,0.3312,59.3333,7.2179,27.5967,1.4815,2.2734,52.65,143.334,286.668,2.7224,60.6838,0.381,2.6956,11.0452,1.6962,2.6028
买1+2,买扫|A_LO=-4.0%·A_HI=3.0%·B_HI=6.0%·B×=0.96·C×=0.97,-0.04,0.03,0.06,0.96,0.97,False,150,358.6353,179.3176,2.3909,0.3312,59.3333,7.2179,27.5967,1.4815,2.2734,52.65,143.334,286.668,2.7224,60.6838,0.381,2.6956,11.0452,1.6962,2.6028
买1+2,买扫|A_LO=-6.0%·A_HI=3.0%·B_HI=8.0%·B×=0.98·C×=0.97,-0.06,0.03,0.08,0.98,0.97,False,160,356.6955,178.3477,2.2293,0.3093,56.875,7.2067,29.0864,1.5457,2.1312,55.75,141.1018,282.2035,2.531,58.2063,0.3544,2.6661,9.6287,1.7496,2.4123
买1+2,买扫|A_LO=-5.0%·A_HI=3.0%·B_HI=8.0%·B×=0.98·C×=0.97,-0.05,0.03,0.08,0.98,0.97,False,160,356.6955,178.3477,2.2293,0.3093,56.875,7.2067,29.0864,1.5457,2.1312,55.75,141.1018,282.2035,2.531,58.2063,0.3544,2.6661,9.6287,1.7496,2.4123
买1+2,买扫|A_LO=-4.0%·A_HI=3.0%·B_HI=8.0%·B×=0.98·C×=0.97,-0.04,0.03,0.08,0.98,0.97,False,160,356.6955,178.3477,2.2293,0.3093,56.875,7.2067,29.0864,1.5457,2.1312,55.75,141.1018,282.2035,2.531,58.2063,0.3544,2.6661,9.6287,1.7496,2.4123
买1+2,买扫|A_LO=-6.0%·A_HI=3.0%·B_HI=8.0%·B×=0.96·C×=0.97,-0.06,0.03,0.08,0.96,0.97,False,147,352.9088,176.4544,2.4007,0.3342,60.5442,7.184,24.6375,1.4186,2.2955,51.9,141.9024,283.8048,2.7342,61.5607,0.384,2.7044,9.9884,1.6246,2.6289
买1+2,买扫|A_LO=-5.0%·A_HI=3.0%·B_HI=8.0%·B×=0.96·C×=0.97,-0.05,0.03,0.08,0.96,0.97,False,147,352.9088,176.4544,2.4007,0.3342,60.5442,7.184,24.6375,1.4186,2.2955,51.9,141.9024,283.8048,2.7342,61.5607,0.384,2.7044,9.9884,1.6246,2.6289
买1+2,买扫|A_LO=-4.0%·A_HI=3.0%·B_HI=8.0%·B×=0.96·C×=0.97,-0.04,0.03,0.08,0.96,0.97,False,147,352.9088,176.4544,2.4007,0.3342,60.5442,7.184,24.6375,1.4186,2.2955,51.9,141.9024,283.8048,2.7342,61.5607,0.384,2.7044,9.9884,1.6246,2.6289
买1+2,买扫|A_LO=-6.0%·A_HI=3.0%·B_HI=7.0%·B×=0.96·C×=0.97,-0.06,0.03,0.07,0.96,0.97,False,147,349.8163,174.9082,2.3797,0.3309,60.5442,7.192,24.6375,1.4088,2.2796,51.9,141.1293,282.2586,2.7193,61.5607,0.3816,2.7064,9.9884,1.6163,2.6155
买1+2,买扫|A_LO=-5.0%·A_HI=3.0%·B_HI=7.0%·B×=0.96·C×=0.97,-0.05,0.03,0.07,0.96,0.97,False,147,349.8163,174.9082,2.3797,0.3309,60.5442,7.192,24.6375,1.4088,2.2796,51.9,141.1293,282.2586,2.7193,61.5607,0.3816,2.7064,9.9884,1.6163,2.6155
买1+2,买扫|A_LO=-4.0%·A_HI=3.0%·B_HI=7.0%·B×=0.96·C×=0.97,-0.04,0.03,0.07,0.96,0.97,False,147,349.8163,174.9082,2.3797,0.3309,60.5442,7.192,24.6375,1.4088,2.2796,51.9,141.1293,282.2586,2.7193,61.5607,0.3816,2.7064,9.9884,1.6163,2.6155
买1+2,买扫|A_LO=-6.0%·A_HI=4.0%·B_HI=6.0%·B×=0.98·C×=0.97,-0.06,0.04,0.06,0.98,0.97,False,163,348.332,174.166,2.137,0.2958,55.8282,7.2233,33.2566,1.5648,2.0638,56.8,137.05,274.1,2.4129,56.7782,0.3366,2.6726,10.2744,1.7493,2.307
买1+2,买扫|A_LO=-5.0%·A_HI=4.0%·B_HI=6.0%·B×=0.98·C×=0.97,-0.05,0.04,0.06,0.98,0.97,False,163,348.332,174.166,2.137,0.2958,55.8282,7.2233,33.2566,1.5648,2.0638,56.8,137.05,274.1,2.4129,56.7782,0.3366,2.6726,10.2744,1.7493,2.307
买1+2,买扫|A_LO=-4.0%·A_HI=4.0%·B_HI=6.0%·B×=0.98·C×=0.97,-0.04,0.04,0.06,0.98,0.97,False,163,348.332,174.166,2.137,0.2958,55.8282,7.2233,33.2566,1.5648,2.0638,56.8,137.05,274.1,2.4129,56.7782,0.3366,2.6726,10.2744,1.7493,2.307
买1+2,买扫|A_LO=-6.0%·A_HI=2.0%·B_HI=6.0%·B×=0.98·C×=0.97,-0.06,0.02,0.06,0.98,0.97,False,152,340.6387,170.3194,2.241,0.315,57.2368,7.1152,27.6391,1.5457,2.1689,52.95,134.3574,268.7148,2.5374,58.2625,0.3598,2.6456,12.8305,1.7506,2.4565
买1+2,买扫|A_LO=-5.0%·A_HI=2.0%·B_HI=6.0%·B×=0.98·C×=0.97,-0.05,0.02,0.06,0.98,0.97,False,152,340.6387,170.3194,2.241,0.315,57.2368,7.1152,27.6391,1.5457,2.1689,52.95,134.3574,268.7148,2.5374,58.2625,0.3598,2.6456,12.8305,1.7506,2.4565
买1+2,买扫|A_LO=-4.0%·A_HI=2.0%·B_HI=6.0%·B×=0.98·C×=0.97,-0.04,0.02,0.06,0.98,0.97,False,152,340.6387,170.3194,2.241,0.315,57.2368,7.1152,27.6391,1.5457,2.1689,52.95,134.3574,268.7148,2.5374,58.2625,0.3598,2.6456,12.8305,1.7506,2.4565
买1+2,买扫|A_LO=-6.0%·A_HI=4.0%·B_HI=7.0%·B×=0.98·C×=0.97,-0.06,0.04,0.07,0.98,0.97,False,163,340.1162,170.0581,2.0866,0.2884,55.2147,7.2349,33.2566,1.5728,2.0221,56.8,134.9961,269.9921,2.3767,56.338,0.3311,2.676,10.7476,1.7666,2.2713
买1+2,买扫|A_LO=-5.0%·A_HI=4.0%·B_HI=7.0%·B×=0.98·C×=0.97,-0.05,0.04,0.07,0.98,0.97,False,163,340.1162,170.0581,2.0866,0.2884,55.2147,7.2349,33.2566,1.5728,2.0221,56.8,134.9961,269.9921,2.3767,56.338,0.3311,2.676,10.7476,1.7666,2.2713
买1+2,买扫|A_LO=-4.0%·A_HI=4.0%·B_HI=7.0%·B×=0.98·C×=0.97,-0.04,0.04,0.07,0.98,0.97,False,163,340.1162,170.0581,2.0866,0.2884,55.2147,7.2349,33.2566,1.5728,2.0221,56.8,134.9961,269.9921,2.3767,56.338,0.3311,2.676,10.7476,1.7666,2.2713
买1+2,买扫|A_LO=-6.0%·A_HI=3.0%·B_HI=7.0%·B×=0.97·C×=0.96,-0.06,0.03,0.07,0.97,0.96,False,151,338.7144,169.3572,2.2431,0.3136,57.6159,7.1523,24.5131,1.529,2.1807,53.4,139.0094,278.0189,2.6032,59.2697,0.3669,2.6936,10.9661,1.7632,2.5147
买1+2,基准|买扫|A_LO=-5.0%·A_HI=3.0%·B_HI=7.0%·B×=0.97·C×=0.96,-0.05,0.03,0.07,0.97,0.96,True,151,338.7144,169.3572,2.2431,0.3136,57.6159,7.1523,24.5131,1.529,2.1807,53.4,139.0094,278.0189,2.6032,59.2697,0.3669,2.6936,10.9661,1.7632,2.5147
买1+2,买扫|A_LO=-4.0%·A_HI=3.0%·B_HI=7.0%·B×=0.97·C×=0.96,-0.04,0.03,0.07,0.97,0.96,False,151,338.7144,169.3572,2.2431,0.3136,57.6159,7.1523,24.5131,1.529,2.1807,53.4,139.0094,278.0189,2.6032,59.2697,0.3669,2.6936,10.9661,1.7632,2.5147
买1+2,买扫|A_LO=-6.0%·A_HI=4.0%·B_HI=8.0%·B×=0.98·C×=0.97,-0.06,0.04,0.08,0.98,0.97,False,163,337.0868,168.5434,2.068,0.2855,54.6012,7.2437,33.2566,1.6016,2.0076,56.8,134.2387,268.4775,2.3634,55.8979,0.3289,2.678,10.7476,1.802,2.2589
买1+2,买扫|A_LO=-5.0%·A_HI=4.0%·B_HI=8.0%·B×=0.98·C×=0.97,-0.05,0.04,0.08,0.98,0.97,False,163,337.0868,168.5434,2.068,0.2855,54.6012,7.2437,33.2566,1.6016,2.0076,56.8,134.2387,268.4775,2.3634,55.8979,0.3289,2.678,10.7476,1.802,2.2589
买1+2,买扫|A_LO=-4.0%·A_HI=4.0%·B_HI=8.0%·B×=0.98·C×=0.97,-0.04,0.04,0.08,0.98,0.97,False,163,337.0868,168.5434,2.068,0.2855,54.6012,7.2437,33.2566,1.6016,2.0076,56.8,134.2387,268.4775,2.3634,55.8979,0.3289,2.678,10.7476,1.802,2.2589
买1+2,买扫|A_LO=-6.0%·A_HI=3.0%·B_HI=8.0%·B×=0.97·C×=0.96,-0.06,0.03,0.08,0.97,0.96,False,151,335.6219,167.811,2.2227,0.3104,57.6159,7.1596,24.5131,1.5187,2.166,53.4,138.2363,276.4726,2.5887,59.2697,0.3645,2.6955,10.9661,1.7545,2.5023
买1+2,买扫|A_LO=-5.0%·A_HI=3.0%·B_HI=8.0%·B×=0.97·C×=0.96,-0.05,0.03,0.08,0.97,0.96,False,151,335.6219,167.811,2.2227,0.3104,57.6159,7.1596,24.5131,1.5187,2.166,53.4,138.2363,276.4726,2.5887,59.2697,0.3645,2.6955,10.9661,1.7545,2.5023
买1+2,买扫|A_LO=-4.0%·A_HI=3.0%·B_HI=8.0%·B×=0.97·C×=0.96,-0.04,0.03,0.08,0.97,0.96,False,151,335.6219,167.811,2.2227,0.3104,57.6159,7.1596,24.5131,1.5187,2.166,53.4,138.2363,276.4726,2.5887,59.2697,0.3645,2.6955,10.9661,1.7545,2.5023
买1+2,买扫|A_LO=-6.0%·A_HI=4.0%·B_HI=6.0%·B×=0.97·C×=0.97,-0.06,0.04,0.06,0.97,0.97,False,160,335.2586,167.6293,2.0954,0.2903,55.625,7.2191,32.5686,1.5642,2.0473,55.95,133.4613,266.9225,2.3854,56.7471,0.3332,2.6781,11.9936,1.758,2.3009
买1+2,买扫|A_LO=-6.0%·A_HI=4.0%·B_HI=7.0%·B×=0.97·C×=0.97,-0.06,0.04,0.07,0.97,0.97,False,160,335.2586,167.6293,2.0954,0.2903,55.625,7.2191,32.5686,1.5642,2.0473,55.95,133.4613,266.9225,2.3854,56.7471,0.3332,2.6781,11.9936,1.758,2.3009
买1+2,买扫|A_LO=-6.0%·A_HI=4.0%·B_HI=8.0%·B×=0.97·C×=0.97,-0.06,0.04,0.08,0.97,0.97,False,160,335.2586,167.6293,2.0954,0.2903,55.625,7.2191,32.5686,1.5642,2.0473,55.95,133.4613,266.9225,2.3854,56.7471,0.3332,2.6781,11.9936,1.758,2.3009
买1+2,买扫|A_LO=-5.0%·A_HI=4.0%·B_HI=6.0%·B×=0.97·C×=0.97,-0.05,0.04,0.06,0.97,0.97,False,160,335.2586,167.6293,2.0954,0.2903,55.625,7.2191,32.5686,1.5642,2.0473,55.95,133.4613,266.9225,2.3854,56.7471,0.3332,2.6781,11.9936,1.758,2.3009
买1+2,买扫|A_LO=-5.0%·A_HI=4.0%·B_HI=7.0%·B×=0.97·C×=0.97,-0.05,0.04,0.07,0.97,0.97,False,160,335.2586,167.6293,2.0954,0.2903,55.625,7.2191,32.5686,1.5642,2.0473,55.95,133.4613,266.9225,2.3854,56.7471,0.3332,2.6781,11.9936,1.758,2.3009
买1+2,买扫|A_LO=-5.0%·A_HI=4.0%·B_HI=8.0%·B×=0.97·C×=0.97,-0.05,0.04,0.08,0.97,0.97,False,160,335.2586,167.6293,2.0954,0.2903,55.625,7.2191,32.5686,1.5642,2.0473,55.95,133.4613,266.9225,2.3854,56.7471,0.3332,2.6781,11.9936,1.758,2.3009
买1+2,买扫|A_LO=-4.0%·A_HI=4.0%·B_HI=6.0%·B×=0.97·C×=0.97,-0.04,0.04,0.06,0.97,0.97,False,160,335.2586,167.6293,2.0954,0.2903,55.625,7.2191,32.5686,1.5642,2.0473,55.95,133.4613,266.9225,2.3854,56.7471,0.3332,2.6781,11.9936,1.758,2.3009
买1+2,买扫|A_LO=-4.0%·A_HI=4.0%·B_HI=7.0%·B×=0.97·C×=0.97,-0.04,0.04,0.07,0.97,0.97,False,160,335.2586,167.6293,2.0954,0.2903,55.625,7.2191,32.5686,1.5642,2.0473,55.95,133.4613,266.9225,2.3854,56.7471,0.3332,2.6781,11.9936,1.758,2.3009
买1+2,买扫|A_LO=-4.0%·A_HI=4.0%·B_HI=8.0%·B×=0.97·C×=0.97,-0.04,0.04,0.08,0.97,0.97,False,160,335.2586,167.6293,2.0954,0.2903,55.625,7.2191,32.5686,1.5642,2.0473,55.95,133.4613,266.9225,2.3854,56.7471,0.3332,2.6781,11.9936,1.758,2.3009
买1+2,买扫|A_LO=-6.0%·A_HI=2.0%·B_HI=7.0%·B×=0.98·C×=0.97,-0.06,0.02,0.07,0.98,0.97,False,152,332.4229,166.2115,2.187,0.3068,56.5789,7.1285,27.6391,1.5533,2.1203,52.95,132.3034,264.6069,2.4986,57.7904,0.3538,2.6495,13.2902,1.7683,2.4139
买1+2,买扫|A_LO=-5.0%·A_HI=2.0%·B_HI=7.0%·B×=0.98·C×=0.97,-0.05,0.02,0.07,0.98,0.97,False,152,332.4229,166.2115,2.187,0.3068,56.5789,7.1285,27.6391,1.5533,2.1203,52.95,132.3034,264.6069,2.4986,57.7904,0.3538,2.6495,13.2902,1.7683,2.4139
买1+2,买扫|A_LO=-4.0%·A_HI=2.0%·B_HI=7.0%·B×=0.98·C×=0.97,-0.04,0.02,0.07,0.98,0.97,False,152,332.4229,166.2115,2.187,0.3068,56.5789,7.1285,27.6391,1.5533,2.1203,52.95,132.3034,264.6069,2.4986,57.7904,0.3538,2.6495,13.2902,1.7683,2.4139
买1+2,买扫|A_LO=-6.0%·A_HI=3.0%·B_HI=7.0%·B×=0.98·C×=0.96,-0.06,0.03,0.07,0.98,0.96,False,156,331.8312,165.9156,2.1271,0.2971,56.4103,7.1586,26.8471,1.5351,2.0783,54.95,136.435,272.87,2.4829,58.0528,0.3491,2.6868,9.6287,1.7643,2.3886
买1+2,买扫|A_LO=-5.0%·A_HI=3.0%·B_HI=7.0%·B×=0.98·C×=0.96,-0.05,0.03,0.07,0.98,0.96,False,156,331.8312,165.9156,2.1271,0.2971,56.4103,7.1586,26.8471,1.5351,2.0783,54.95,136.435,272.87,2.4829,58.0528,0.3491,2.6868,9.6287,1.7643,2.3886
买1+2,买扫|A_LO=-4.0%·A_HI=3.0%·B_HI=7.0%·B×=0.98·C×=0.96,-0.04,0.03,0.07,0.98,0.96,False,156,331.8312,165.9156,2.1271,0.2971,56.4103,7.1586,26.8471,1.5351,2.0783,54.95,136.435,272.87,2.4829,58.0528,0.3491,2.6868,9.6287,1.7643,2.3886
买1+2,买扫|A_LO=-6.0%·A_HI=3.0%·B_HI=7.0%·B×=0.97·C×=0.95,-0.06,0.03,0.07,0.97,0.95,False,148,331.2862,165.6431,2.2384,0.3159,57.4324,7.0865,24.5131,1.5541,2.2017,52.8,137.6817,275.3633,2.6076,59.1856,0.3695,2.7054,10.9661,1.7919,2.5385
买1+2,买扫|A_LO=-5.0%·A_HI=3.0%·B_HI=7.0%·B×=0.97·C×=0.95,-0.05,0.03,0.07,0.97,0.95,False,148,331.2862,165.6431,2.2384,0.3159,57.4324,7.0865,24.5131,1.5541,2.2017,52.8,137.6817,275.3633,2.6076,59.1856,0.3695,2.7054,10.9661,1.7919,2.5385
买1+2,买扫|A_LO=-4.0%·A_HI=3.0%·B_HI=7.0%·B×=0.97·C×=0.95,-0.04,0.03,0.07,0.97,0.95,False,148,331.2862,165.6431,2.2384,0.3159,57.4324,7.0865,24.5131,1.5541,2.2017,52.8,137.6817,275.3633,2.6076,59.1856,0.3695,2.7054,10.9661,1.7919,2.5385
买1+2,买扫|A_LO=-6.0%·A_HI=3.0%·B_HI=6.0%·B×=0.98·C×=0.96,-0.06,0.03,0.06,0.98,0.96,False,153,331.2281,165.614,2.1649,0.3041,58.1699,7.1192,26.8471,1.4571,2.126,54.2,136.2842,272.5684,2.5145,59.3173,0.355,2.6934,10.2823,1.6701,2.4367
买1+2,买扫|A_LO=-5.0%·A_HI=3.0%·B_HI=6.0%·B×=0.98·C×=0.96,-0.05,0.03,0.06,0.98,0.96,False,153,331.2281,165.614,2.1649,0.3041,58.1699,7.1192,26.8471,1.4571,2.126,54.2,136.2842,272.5684,2.5145,59.3173,0.355,2.6934,10.2823,1.6701,2.4367
买1+2,买扫|A_LO=-4.0%·A_HI=3.0%·B_HI=6.0%·B×=0.98·C×=0.96,-0.04,0.03,0.06,0.98,0.96,False,153,331.2281,165.614,2.1649,0.3041,58.1699,7.1192,26.8471,1.4571,2.126,54.2,136.2842,272.5684,2.5145,59.3173,0.355,2.6934,10.2823,1.6701,2.4367
买1+2,买扫|A_LO=-6.0%·A_HI=2.0%·B_HI=6.0%·B×=0.97·C×=0.97,-0.06,0.02,0.06,0.97,0.97,False,144,329.9164,164.9582,2.2911,0.3208,57.6389,7.1407,23.8315,1.5437,2.2091,50.35,131.5915,263.1829,2.6135,58.8878,0.37,2.6657,10.5198,1.7674,2.5292
买1+2,买扫|A_LO=-6.0%·A_HI=2.0%·B_HI=7.0%·B×=0.97·C×=0.97,-0.06,0.02,0.07,0.97,0.97,False,144,329.9164,164.9582,2.2911,0.3208,57.6389,7.1407,23.8315,1.5437,2.2091,50.35,131.5915,263.1829,2.6135,58.8878,0.37,2.6657,10.5198,1.7674,2.5292
买1+2,买扫|A_LO=-6.0%·A_HI=2.0%·B_HI=8.0%·B×=0.97·C×=0.97,-0.06,0.02,0.08,0.97,0.97,False,144,329.9164,164.9582,2.2911,0.3208,57.6389,7.1407,23.8315,1.5437,2.2091,50.35,131.5915,263.1829,2.6135,58.8878,0.37,2.6657,10.5198,1.7674,2.5292
买1+2,买扫|A_LO=-5.0%·A_HI=2.0%·B_HI=6.0%·B×=0.97·C×=0.97,-0.05,0.02,0.06,0.97,0.97,False,144,329.9164,164.9582,2.2911,0.3208,57.6389,7.1407,23.8315,1.5437,2.2091,50.35,131.5915,263.1829,2.6135,58.8878,0.37,2.6657,10.5198,1.7674,2.5292
买1+2,买扫|A_LO=-5.0%·A_HI=2.0%·B_HI=7.0%·B×=0.97·C×=0.97,-0.05,0.02,0.07,0.97,0.97,False,144,329.9164,164.9582,2.2911,0.3208,57.6389,7.1407,23.8315,1.5437,2.2091,50.35,131.5915,263.1829,2.6135,58.8878,0.37,2.6657,10.5198,1.7674,2.5292
买1+2,买扫|A_LO=-5.0%·A_HI=2.0%·B_HI=8.0%·B×=0.97·C×=0.97,-0.05,0.02,0.08,0.97,0.97,False,144,329.9164,164.9582,2.2911,0.3208,57.6389,7.1407,23.8315,1.5437,2.2091,50.35,131.5915,263.1829,2.6135,58.8878,0.37,2.6657,10.5198,1.7674,2.5292
买1+2,买扫|A_LO=-4.0%·A_HI=2.0%·B_HI=6.0%·B×=0.97·C×=0.97,-0.04,0.02,0.06,0.97,0.97,False,144,329.9164,164.9582,2.2911,0.3208,57.6389,7.1407,23.8315,1.5437,2.2091,50.35,131.5915,263.1829,2.6135,58.8878,0.37,2.6657,10.5198,1.7674,2.5292
买1+2,买扫|A_LO=-4.0%·A_HI=2.0%·B_HI=7.0%·B×=0.97·C×=0.97,-0.04,0.02,0.07,0.97,0.97,False,144,329.9164,164.9582,2.2911,0.3208,57.6389,7.1407,23.8315,1.5437,2.2091,50.35,131.5915,263.1829,2.6135,58.8878,0.37,2.6657,10.5198,1.7674,2.5292
买1+2,买扫|A_LO=-4.0%·A_HI=2.0%·B_HI=8.0%·B×=0.97·C×=0.97,-0.04,0.02,0.08,0.97,0.97,False,144,329.9164,164.9582,2.2911,0.3208,57.6389,7.1407,23.8315,1.5437,2.2091,50.35,131.5915,263.1829,2.6135,58.8878,0.37,2.6657,10.5198,1.7674,2.5292
买1+2,买扫|A_LO=-6.0%·A_HI=3.0%·B_HI=6.0%·B×=0.97·C×=0.96,-0.06,0.03,0.06,0.97,0.96,False,148,329.8954,164.9477,2.229,0.3129,58.7838,7.1248,24.5131,1.4561,2.1841,52.65,136.8047,273.6094,2.5984,60.114,0.3672,2.7044,11.3085,1.6834,2.525
买1+2,买扫|A_LO=-5.0%·A_HI=3.0%·B_HI=6.0%·B×=0.97·C×=0.96,-0.05,0.03,0.06,0.97,0.96,False,148,329.8954,164.9477,2.229,0.3129,58.7838,7.1248,24.5131,1.4561,2.1841,52.65,136.8047,273.6094,2.5984,60.114,0.3672,2.7044,11.3085,1.6834,2.525
买1+2,买扫|A_LO=-4.0%·A_HI=3.0%·B_HI=6.0%·B×=0.97·C×=0.96,-0.04,0.03,0.06,0.97,0.96,False,148,329.8954,164.9477,2.229,0.3129,58.7838,7.1248,24.5131,1.4561,2.1841,52.65,136.8047,273.6094,2.5984,60.114,0.3672,2.7044,11.3085,1.6834,2.525
买1+2,买扫|A_LO=-6.0%·A_HI=2.0%·B_HI=8.0%·B×=0.98·C×=0.97,-0.06,0.02,0.08,0.98,0.97,False,152,329.3936,164.6968,2.1671,0.3036,55.9211,7.1384,27.6391,1.5838,2.1035,52.95,131.5461,263.0922,2.4843,57.3182,0.3514,2.6518,13.2902,1.8064,2.3991
买1+2,买扫|A_LO=-5.0%·A_HI=2.0%·B_HI=8.0%·B×=0.98·C×=0.97,-0.05,0.02,0.08,0.98,0.97,False,152,329.3936,164.6968,2.1671,0.3036,55.9211,7.1384,27.6391,1.5838,2.1035,52.95,131.5461,263.0922,2.4843,57.3182,0.3514,2.6518,13.2902,1.8064,2.3991
